city_slug,footprint_reference_date,date_precision,dataset_last_updated,source_name,source_url,date_basis,date_confidence,notes
barcelona,2026-02-20,day,2026-02-20,Spanish Cadastre INSPIRE Buildings,https://www.catastro.hacienda.gob.es/INSPIRE/Buildings/08/08900-BARCELONA/A.ES.SDGC.BU.08900.zip,"Official Catastro endpoint Last-Modified verified earlier in project work: 2026-02-20.",high,"Source link was provided earlier in chat rather than the tracker file."
birmingham,2026-06-16,day,2026-06-16,OS OpenMap Local buildings,https://www.ordnancesurvey.co.uk/products/os-open-map-local,"Raw source file timestamp is 2026-06-16.",medium,"Source link was provided earlier in chat rather than the tracker file."
copenhagen,2026-06-16,day,2026-06-16,OSM/Geofabrik building footprints,https://download.geofabrik.de/,"User stated Copenhagen, Guadalajara, Hong Kong, Oslo, and Sao Paulo OSM Geofabrik downloads were updated about 18 hours before 2026-06-17.",medium,"User-provided recency; normalized to 2026-06-16."
helsinki,2022-09-09,day,2022-09-09,Helsinki 3D Urban data model / city information model,https://www.hel.fi/en/decision-making/information-on-helsinki/maps-and-geospatial-data/helsinki-3d,"building_footprint_sources.md: full-city year to confirm; dataset update 2022-09-09.",medium,"Use 2022-09-09 until full-city export tile reference dates are confirmed."
hong_kong,2026-06-16,day,2026-06-16,OSM/Geofabrik building footprints,https://download.geofabrik.de/,"User stated Copenhagen, Guadalajara, Hong Kong, Oslo, and Sao Paulo OSM Geofabrik downloads were updated about 18 hours before 2026-06-17.",medium,"User-provided recency; normalized to 2026-06-16."
london,2026-06-16,day,2026-06-16,OS OpenMap Local buildings,https://www.ordnancesurvey.co.uk/products/os-open-map-local,"Raw source file timestamp is 2026-06-16.",medium,"Source link was provided earlier in chat rather than the tracker file."
lyon,2026-05-13,day,2026-05-27,IGN BD TOPO,https://cartes.gouv.fr/rechercher-une-donnee/dataset/IGNF_BD-TOPO,"building_footprint_sources.md: building resource updated 2026-05-13; catalog update 2026-05-27.",medium,"Feature dates should be inspected later; resource update used as project-level proxy."
madrid,2026-02-21,day,2026-02-21,Spanish Cadastre INSPIRE Buildings,https://www.catastro.hacienda.gob.es/INSPIRE/Buildings/28/28900-MADRID/A.ES.SDGC.BU.28900.zip,"Official Catastro endpoint Last-Modified verified earlier in project work: 2026-02-21.",high,"Source link was provided earlier in chat rather than the tracker file."
manchester,2026-06-16,day,2026-06-16,OS OpenMap Local buildings,https://www.ordnancesurvey.co.uk/products/os-open-map-local,"Raw source file timestamp is 2026-06-16.",medium,"Source link was provided earlier in chat rather than the tracker file."
marseille,2026-05-13,day,2026-05-27,IGN BD TOPO,https://cartes.gouv.fr/rechercher-une-donnee/dataset/IGNF_BD-TOPO,"building_footprint_sources.md: building resource updated 2026-05-13; catalog update 2026-05-27.",medium,"Feature dates should be inspected later; resource update used as project-level proxy."
oslo,2026-06-16,day,2026-06-16,OSM/Geofabrik building footprints,https://download.geofabrik.de/,"User stated Copenhagen, Guadalajara, Hong Kong, Oslo, and Sao Paulo OSM Geofabrik downloads were updated about 18 hours before 2026-06-17.",medium,"User-provided recency; normalized to 2026-06-16."
paris,2026-05-13,day,2026-05-27,IGN BD TOPO,https://cartes.gouv.fr/rechercher-une-donnee/dataset/IGNF_BD-TOPO,"building_footprint_sources.md: building resource updated 2026-05-13; catalog update 2026-05-27.",medium,"Feature dates should be inspected later; resource update used as project-level proxy."
rotterdam,2025-09-09,day,2025-09-09,3DBAG,https://docs.3dbag.nl/en/,"building_footprint_sources.md: mixed BAG/AHN dates; latest 3DBAG release 2025-09-09, release tag 2025.09.03.",medium,"Feature-level BAG/AHN dates should be inspected later; release date is used as current best project-level proxy."
utrecht,2025-09-09,day,2025-09-09,3DBAG,https://docs.3dbag.nl/en/,"building_footprint_sources.md: mixed BAG/AHN dates; latest 3DBAG release 2025-09-09, release tag 2025.09.03.",medium,"Feature-level BAG/AHN dates should be inspected later; release date is used as current best project-level proxy."
valencia,2026-02-21,day,2026-02-21,Spanish Cadastre INSPIRE Buildings,https://www.catastro.hacienda.gob.es/INSPIRE/Buildings/46/46900-VALENCIA/A.ES.SDGC.BU.46900.zip,"Official Catastro endpoint Last-Modified verified earlier in project work: 2026-02-21.",high,"Source link was provided earlier in chat rather than the tracker file."
zurich,2022-12-05,day,2026-06-10,City of Zurich Bauten - Dachmodell,https://data.stadt-zuerich.ch/dataset/geo_bauten___dachmodell,"building_footprint_sources.md: full-city CityGML records creationDate 2022-12-05; catalog metadata modified 2026-06-10.",high,"Model creation/reference date, not necessarily acquisition date for every building."
cape_town,2023-07-01,year,2025-11-25,City of Cape Town 2D Building Footprints Low Detail,https://odp-cctegis.opendata.arcgis.com/datasets/cctegis::2d-building-footprints-low-detail/about,"building_footprint_sources.md: 2023 aerial imagery and LiDAR; catalog metadata modified 2025-11-25.",high,"Reference date set to midpoint of 2023 because exact acquisition date is not listed."
